Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Voltage #1","Voltage #2","Voltage #3","Voltage #4","Voltage #5","Voltage #6","Voltage #7","Standby +3.3V","VBat","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #1","Fan Control #1","Fan Control #2","Fan Control #3","Voltage #1","Voltage #2","Voltage #3","Voltage #4","Voltage #5","Voltage #6","Voltage #7","Standby +3.3V","VBat","Temperature #1","Temperature #2","Temperature #3","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Package","Bus Speed","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Temperature","CPU CCD #1","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core Percentage","Memory","Used Memory","Available Memory","GPU Temperature","GPU Fan","GPU Core","GPU Memory","GPU Core",GPU Percentage,"Temperature","Used Space","Used Space","Used Space"
04/17/2021 13:36:51,,,,,,1.368,2.04,2.06400013,2.028,1.116,0.924,1.38,3.36000013,3.12000012,21,22,41,21,22,26,960.1707,100,100,100,1.793,1.353,1.254,1.694,1.353,1.254,2.805,3.366,3.19,27,30,29,4.6875,13.28125,2.34375,5.46875,15.625,8.59375,8.333331,43.98307,99.81556,2.34388471,3.07205462,1.45763862,1.8146354,3.53134847,2.30124664,41,28.5,3593.36,3593.36,3593.36,3593.36,3593.36,3593.36,14.5208082,21.3480911,3.40494537,12.5447006,21.0000019,30,300,150,0.825000048,0,15,1.36139679,18.8957367,16.3497772
04/17/2021 13:36:56,,,,,,1.368,2.052,2.06400013,2.028,1.116,0.924,1.38,3.36000013,3.12000012,21,22,34,21,21,27,954.738342,100,100,100,1.793,1.342,1.254,1.694,1.342,1.243,2.805,3.366,3.19,27,30,29,0,0,0,0,0,0,0,27.6081886,99.81556,0.121850327,0.0766079053,0.02947726,0.03680536,0.6066441,0.08655854,33.625,26.25,4192.25342,4192.25342,3353.80273,3353.80273,4192.25342,3353.80273,0.957943439,21.3514862,3.405487,12.5441589,21.0000019,30,300,150,0.825000048,0,15,1.36139679,18.8957367,16.3497772
04/17/2021 13:37:01,,,,,,0.216,2.052,2.06400013,2.04,1.128,0.924,1.38,3.36000013,3.12000012,21,22,28,21,21,27,956.090637,100,100,100,1.793,1.342,1.254,1.694,1.353,1.254,2.805,3.366,3.19,27,30,29,1.5625,0,0,0,0,0.78125,0.390625,20.2331924,99.81556,0.3111851,0.145020977,0.06375207,0.088921,0.358542025,0.0646125451,28.375,37,4192.25342,3353.80273,3353.80273,4192.25342,4192.25342,3353.80273,1.03203368,19.8912048,3.172577,12.7770691,21.0000019,30,300,150,0.825000048,0,15,1.36139679,18.8957367,16.3497772
04/17/2021 13:37:06,,,,,,0.996,2.052,2.06400013,2.028,1.116,0.936,1.38,3.336,3.12000012,21,22,31,21,21,27,954.738342,100,100,100,1.782,1.353,1.254,1.694,1.353,1.243,2.805,3.366,3.19,27,30,29,0.78125,0.78125,1.5625,0,1.5625,0.78125,0.911456347,21.9107342,99.81556,0.250699371,0.410269767,0.08617317,0.189289987,0.3047281,0.386430442,30.875,24.5,4192.25342,4192.25342,4192.25342,4192.25342,4192.25342,4192.25342,1.62759089,19.9822159,3.18709183,12.7625542,21.0000019,30,300,150,0.825000048,0,15,1.36139679,18.8957367,16.3497772
04/17/2021 13:37:11,,,,,,0.216,2.052,2.06400013,2.04,1.116,0.924,1.38,3.36000013,3.12000012,21,22,33,21,20,27,954.738342,100,100,100,1.782,1.353,1.254,1.694,1.353,1.243,2.805,3.366,3.19,27,31,29,0.78125,0,0,0,0,0,0.130206347,19.0902348,99.81556,0.193523347,0.09906372,0.0371962227,0.0962013,0.153373837,0.118373647,33.125,24,4192.25342,4192.25342,4192.25342,4192.25342,4192.25342,4192.25342,0.6977321,20.0265274,3.19416046,12.7554855,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8962784,16.3497772
04/17/2021 13:37:16,,,,,,0.204,2.052,2.06400013,2.04,1.128,0.924,1.38,3.36000013,3.12000012,21,22,26,21,20,27,957.446838,100,100,100,1.793,1.353,1.254,1.694,1.342,1.243,2.805,3.388,3.19,27,30,29,0,0,0,0,0,0,0,17.72109,99.81556,0.0427027941,0.03917758,0.0367761254,0.0511694625,0.0979208648,0.188190937,26.625,23.75,4192.25342,4192.25342,4192.25342,3353.80273,4192.25342,4192.25342,0.455937773,20.24913,3.22966385,12.7199821,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8962784,16.3497772
04/17/2021 13:37:21,,,,,,0.204,2.052,2.06400013,2.04,1.116,0.924,1.38,3.36000013,3.12000012,21,23,28,21,20,27,956.090637,100,100,100,1.793,1.342,1.254,1.694,1.342,1.243,2.805,3.388,3.19,27,30,29,0,0,0,0,0,0,0,17.7805061,99.81556,0.0355392471,0.0314673521,0.0271110255,0.03501529,0.174672246,0.15018101,28.75,24,4192.25342,4192.25342,4192.25342,4192.25342,4192.25342,4192.25342,0.453986168,20.2261429,3.225998,12.7236481,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8962784,16.3497772
04/17/2021 13:37:26,,,,,,0.204,2.052,2.06400013,2.04,1.152,0.924,1.38,3.36000013,3.12000012,21,23,31,21,20,28,956.090637,100,100,100,1.782,1.353,1.254,1.694,1.342,1.243,2.805,3.388,3.19,27,31,29,0,0,0,0,0,0,0,17.0187168,99.81556,0.0312804058,0.0272408314,0.0234865826,0.0316408128,0.0358305536,0.155531034,31.5,24.25,4192.25342,4192.25342,4192.25342,4192.25342,4192.25342,4192.25342,0.3050102,20.2599335,3.231388,12.7182579,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8962784,16.3497772
04/17/2021 13:37:31,,,,,,0.996,2.052,2.06400013,2.028,1.116,0.936,1.38,3.36000013,3.12000012,21,23,25,21,20,28,953.389832,100,100,100,1.793,1.342,1.254,1.694,1.342,1.243,2.805,3.366,3.19,27,31,29,0.78125,0,0,0,0.78125,0,0.260418653,20.3563232,99.81556,0.243485153,0.228466108,0.041663792,0.0403551422,0.07121496,0.14973402,25.5,24.75,3353.80273,4192.25342,3353.80273,3353.80273,4192.25342,4192.25342,0.774919152,20.23999,3.22820663,12.7214394,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8962784,16.3497772
04/17/2021 13:37:36,,,,,,1.32,2.052,2.06400013,2.028,1.116,0.924,1.38,3.36000013,3.12000012,22,23,30,21,21,28,954.738342,100,100,100,1.804,1.353,1.254,1.694,1.342,1.243,2.805,3.366,3.19,27,31,29,0,0,0,0,0,0,0,18.1036072,99.81556,0.0284710024,0.0311411135,0.0253126435,0.03931928,0.0493436344,0.253507882,30.5,26.5,3593.36,3593.36,3593.36,3353.80273,4192.25342,4192.25342,0.427095532,20.5446014,3.27679062,12.6728554,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8962784,16.3497772
